dept_no,emp_no
d005,10001
d007,10002
d004,10003
d004,10004
d003,10005
d005,10006
d008,10007
d005,10008
d006,10009
d004,10010
d006,10010
d009,10011
d005,10012
d003,10013
d005,10014
d008,10015
d007,10016
d001,10017
d004,10018
d005,10018
d008,10019
d004,10020
d005,10021
d005,10022
d005,10023
d004,10024
d005,10025
d004,10026
d005,10027
d005,10028
d004,10029
d006,10029
d004,10030
d005,10031
d004,10032
d006,10033
d007,10034
d004,10035
d003,10036
d005,10037
d009,10038
d003,10039
d005,10040
d008,10040
d007,10041
d002,10042
d005,10043
d004,10044
d004,10045
d008,10046
d004,10047
d005,10048
d009,10049
d002,10050
d007,10050
d004,10051
d008,10052
d007,10053
d003,10054
d001,10055
d005,10056
d005,10057
d001,10058
d002,10059
d007,10060
d009,10060
d007,10061
d005,10062
d004,10063
d008,10064
d005,10065
d005,10066
d006,10067
d007,10068
d004,10069
d005,10070
d008,10070
d003,10071
d005,10072
d006,10073
d005,10074
d005,10075
d005,10076
d003,10077
d005,10078
d005,10079
d002,10080
d003,10080
d004,10081
d008,10082
d004,10083
d004,10084
d004,10085
d003,10086
d007,10087
d007,10088
d009,10088
d007,10089
d005,10090
d005,10091
d005,10092
d007,10093
d008,10094
d007,10095
d004,10096
d008,10097
d004,10098
d009,10098
d007,10099
d003,10100
d007,10101
d004,10102
d005,10103
d008,10104
d003,10105
d004,10106
d007,10107
d001,10108
d003,10108
d004,10109
d003,10110
d006,10111
d009,10112
d004,10113
d008,10114
d009,10115
d005,10116
d008,10116
d004,10117
d005,10118
d004,10119
d004,10120
d005,10121
d005,10122
d004,10123
d004,10124
d006,10124
d007,10125
d009,10126
d005,10127
d009,10128
d005,10129
d004,10130
d004,10131
d002,10132
d004,10133
d004,10134
d005,10134
d004,10135
d007,10136
d009,10137
d006,10138
d005,10139
d001,10140
d008,10141
d005,10142
d005,10143
d002,10144
d003,10144
d005,10145
d002,10146
d002,10147
d007,10148
d007,10149
d005,10150
d007,10151
d006,10152
d005,10153
d009,10154
d004,10155
d008,10155
d006,10156
d005,10157
d004,10158
d006,10159
d007,10160
d004,10161
d004,10162
d003,10163
d004,10164
d009,10164
d002,10165
d005,10166
d004,10167
d008,10168
d005,10169
d004,10170
d004,10171
d005,10172
d008,10172
d002,10173
d004,10174
d001,10175
d009,10176
d002,10177
d007,10178
d005,10179
d002,10180
d005,10181
d005,10182
d008,10182
d009,10183
d009,10184
d007,10185
d002,10186
d002,10187
d004,10188
d005,10189
d004,10190
d005,10191
d004,10192
d006,10192
d005,10193
d002,10194
d004,10195
d002,10196
d005,10197
d005,10198
